id,qid1,qid2,question1,question2,is_duplicate,qID_Q1,part_of_speech_counter_Q1,number_of_numbers_Q1,number_of_words_Q1,length_of_longest_word_Q1,word2vec_mean_of_question_Q1,counter_question_words_Q1,th3_biggest_tfidf_Q1,qID_Q2,part_of_speech_counter_Q2,number_of_numbers_Q2,number_of_words_Q2,length_of_longest_word_Q2,word2vec_mean_of_question_Q2,counter_question_words_Q2,th3_biggest_tfidf_Q2,diff_between_number_of_words,diff_between_number_of_numbers,diff_between_length_of_longest_word,diff_between_counter_question_words,similarity_between_word2vec_mean_of_question,sum_diff_part_of_speech_counter,number_of_common_words,number_of_common_words_without_stopwords,both_containing_parenthesis
234,469,470,"Trump supporters, how do you feel about the way he's walking back his promises?",Do Trump supporters now expect the president to live up to his promises he so forcefully sold them on?,0,469,"Counter({'NN': 2, 'NNS': 2, 'PRP': 2, ',': 1, 'WRB': 1, 'VBP': 1, 'VB': 1, 'IN': 1, 'DT': 1, 'VBZ': 1, 'VBG': 1, 'RP': 1, 'PRP$': 1, '.': 1})",0,15,10,do,1,"{""he's"": 8.190173521758819, 'promises': 7.3428756613716155, 'walking': 7.497026341198874}",470,"Counter({'RB': 3, 'VB': 2, 'NNS': 2, 'TO': 2, 'PRP': 2, 'JJ': 1, 'VBP': 1, 'DT': 1, 'NN': 1, 'RP': 1, 'PRP$': 1, 'VBN': 1, 'IN': 1, '.': 1})",0,19,10,%_#F########_9v.jsn,0,"{'forcefully': 8.595638629866983, 'promises': 7.3428756613716155, 'sold': 7.497026341198874}",4,0,0,1,0.4632280170917511,6,3,1,0
235,471,472,Why are we worried about others' opinions?,Why do we care for others' opinion and about what others think about us?,1,471,"Counter({'NNS': 2, 'WRB': 1, 'VBP': 1, 'PRP': 1, 'VBD': 1, 'IN': 1, 'POS': 1, '.': 1})",0,8,8,do,1,"{""'"": 5.854798605941783, 'opinions': 7.902491449307038, 'worried': 7.902491449307038}",472,"Counter({'IN': 3, 'VBP': 2, 'PRP': 2, 'NNS': 2, 'WRB': 1, 'VB': 1, 'POS': 1, 'NN': 1, 'CC': 1, 'WP': 1, '.': 1})",0,15,7,do,2,"{""'"": 5.854798605941783, 'care': 6.890890537628558, 'opinion': 7.209344268747093}",7,0,1,1,1.0,5,4,2,0
236,473,474,How do you potty train a 4 months Pitbull?,How do I potty train my two-month-old Labrador pup?,1,473,"Counter({'VB': 3, 'WRB': 1, 'PRP': 1, 'DT': 1, 'CD': 1, 'NNS': 1, 'VBN': 1, '.': 1})",1,9,7,potty,1,"{'pitbull': 8.190173521758819, 'potty': 8.190173521758819, 'train': 7.3428756613716155}",474,"Counter({'JJ': 2, 'NN': 2, 'WRB': 1, 'VBP': 1, 'VB': 1, 'RB': 1, 'PRP$': 1, '.': 1})",0,9,13,pup,1,"{'labrador': 8.595638629866983, 'pup': 8.595638629866983, 'two-month-old': 8.595638629866983}",0,1,6,0,0.365755558013916,7,4,3,0
237,475,476,"If I jump rope for five minutes, how many calories will I use?",What's the best way to jump rope?,0,475,"Counter({'IN': 2, 'JJ': 2, 'NN': 2, 'NNS': 2, 'VBP': 1, 'CD': 1, ',': 1, 'WRB': 1, 'MD': 1, 'VB': 1, '.': 1})",0,14,8,KIM_CLIJSTERS_Yeah,1,"{'jump': 8.190173521758819, 'minutes': 7.497026341198874, 'rope': 8.190173521758819}",476,"Counter({'NN': 2, 'WP': 1, 'VBZ': 1, 'DT': 1, 'JJS': 1, 'TO': 1, 'VB': 1, '.': 1})",0,7,6,jump,0,"{'jump': 8.190173521758819, 'rope': 8.190173521758819, ""what's"": 5.069278105250822}",7,0,2,1,0.2775561809539795,11,1,1,0
238,477,478,Which online test series is best for GATE 2017 in CS stream?,Which test series is the best for GATE computer science stream?,1,477,"Counter({'NN': 5, 'IN': 2, 'WDT': 1, 'VBP': 1, 'VBZ': 1, 'RBS': 1, 'CD': 1, '.': 1})",1,12,6,KF_OOE,1,"{'2017': 6.723836452965392, 'cs': 7.6793478979928285, 'stream': 7.902491449307038}",478,"Counter({'NN': 6, 'WDT': 1, 'VBZ': 1, 'DT': 1, 'JJS': 1, 'IN': 1, '.': 1})",0,11,8,BY_ANDY_THOMPSON,1,"{'series': 6.64972848081167, 'stream': 7.902491449307038, 'test': 6.64972848081167}",1,1,2,0,0.6860384941101074,5,8,6,0
239,479,480,What is the best material for understanding algorithmic analysis by a newbie?,What math does a complete newbie need to understand algorithms for computer programming? What books on algorithms are suitable for a complete beginner?,0,479,"Counter({'NN': 3, 'DT': 2, 'IN': 2, 'WP': 1, 'VBZ': 1, 'JJS': 1, 'VBG': 1, 'JJ': 1, '.': 1})",0,12,13,By_Laurelle_Gilbert,1,"{'algorithmic': 8.595638629866983, 'material': 8.595638629866983, 'newbie': 8.190173521758819}",480,"Counter({'NN': 8, 'JJ': 3, 'IN': 3, 'WP': 2, 'DT': 2, '.': 2, 'VBZ': 1, 'TO': 1, 'VB': 1, 'NNS': 1, 'VBP': 1})",0,24,11,repetition_repetition_repetition,2,"{'algorithms': 14.994052682397747, 'complete': 14.994052682397747, 'newbie': 8.190173521758819}",12,0,2,1,0.5582276582717896,12,3,1,0
240,481,482,What is the temperament of a Bullmastiff/Husky mix?,What is the temperament of a Corgi-Husky mix?,0,481,"Counter({'DT': 2, 'NN': 2, 'WP': 1, 'VBZ': 1, 'IN': 1, 'JJ': 1, '.': 1})",0,10,11,temperament,1,"{'bullmastiff': 8.595638629866983, 'husky': 8.190173521758819, 'temperament': 8.190173521758819}",482,"Counter({'DT': 2, 'NN': 2, 'WP': 1, 'VBZ': 1, 'IN': 1, 'JJ': 1, '.': 1})",0,8,11,temperament,1,"{'corgi-husky': 8.595638629866983, 'mix': 7.497026341198874, 'temperament': 8.190173521758819}",2,0,0,0,1.0,0,7,3,0
241,483,484,"There are 8 balls. 7 of them weigh the same. 1 of them has a different weight, (you don't know if it's heavier or lighter). How do you find the odd ball with 2 weighs?","How many 4 digit numbers can be formed by using 0, 1, 2, 3, 4, 5, 6, and 7? How many of them are between 4000 and 6000?",0,483,"Counter({'PRP': 5, 'VBP': 4, 'CD': 4, '.': 4, 'IN': 4, 'DT': 3, 'JJ': 3, 'NNS': 2, 'VBZ': 2, 'NN': 2, 'VB': 2, 'JJR': 2, 'EX': 1, ',': 1, '(': 1, 'RB': 1, 'CC': 1, ')': 1, 'WRB': 1})",4,41,9,just,1,"{'.': 11.685474792223701, 'lighter': 8.595638629866983, 'weighs': 8.595638629866983}",484,"Counter({'CD': 11, ',': 7, 'JJ': 3, 'IN': 3, 'WRB': 2, 'CC': 2, '.': 2, 'NNS': 1, 'MD': 1, 'VB': 1, 'VBN': 1, 'VBG': 1, 'PRP': 1, 'VBP': 1})",2,36,7,5,2,"{',': 23.24054775309094, '4': 12.139819971117456, '4000': 8.595638629866983, '6000': 8.595638629866983, 'digit': 8.595638629866983}",5,2,2,1,0.18731477856636047,40,4,1,0
242,485,486,"In the play ""A Raisin in the Sun"", why do Walter ad Beneatha argue?","In ""A Raisin in the Sun"", why do Walter and Beneatha argue?",1,485,"Counter({'NN': 6, 'DT': 3, 'IN': 2, '``': 1, ""''"": 1, ',': 1, 'WRB': 1, 'VBP': 1, 'JJR': 1, '.': 1})",0,17,8,Cassell_chirped,1,"{'""': 9.555852607820157, 'ad': 8.595638629866983, 'argue': 8.190173521758819, 'beneatha': 8.190173521758819, 'raisin': 8.190173521758819, 'walter': 8.190173521758819}",486,"Counter({'NN': 3, 'IN': 2, 'DT': 2, '``': 1, ""''"": 1, ',': 1, 'WRB': 1, 'VBP': 1, 'JJR': 1, 'CC': 1, 'VB': 1, '.': 1})",0,15,8,anyway,1,"{'""': 9.555852607820157, 'argue': 8.190173521758819, 'beneatha': 8.190173521758819, 'raisin': 8.190173521758819, 'walter': 8.190173521758819}",2,0,0,0,0.5177897214889526,4,11,7,0
243,487,488,What are the signs of an ultra smart person playing dumb?,What are signs of ultra smart people hiding their intelligence?,1,487,"Counter({'DT': 2, 'NNS': 2, 'JJ': 2, 'WDT': 1, 'VBP': 1, 'IN': 1, 'NN': 1, 'VBG': 1, '.': 1})",0,11,7,smart,1,"{'dumb': 8.595638629866983, 'signs': 7.6793478979928285, 'smart': 7.6793478979928285, 'ultra': 8.190173521758819}",488,"Counter({'NNS': 2, 'JJ': 2, 'WDT': 1, 'VBP': 1, 'IN': 1, 'VBG': 1, 'PRP$': 1, 'NN': 1, '.': 1})",0,10,12,%_#F########_9v.jsn,1,"{'hiding': 8.595638629866983, 'signs': 7.6793478979928285, 'smart': 7.6793478979928285, 'ultra': 8.190173521758819}",1,0,5,0,0.2578276991844177,2,6,4,0
244,489,490,If dark energy is created with expansion can infinite of it be created?,"If energy is not conserved in an expanding universe, is potential energy infinite (the energy that can be created is infinite)?",1,489,"Counter({'IN': 3, 'NN': 2, 'VBN': 2, 'VB': 2, 'JJ': 1, 'VBZ': 1, 'MD': 1, 'PRP': 1, '.': 1})",0,13,9,%_#F########_9v.jsn,0,"{'created': 13.781781075257117, 'dark': 7.209344268747093, 'expansion': 8.190173521758819}",490,"Counter({'NN': 5, 'VBZ': 3, 'IN': 2, 'VBN': 2, 'DT': 2, 'JJ': 2, 'RB': 1, 'VBG': 1, ',': 1, '(': 1, 'WDT': 1, 'MD': 1, 'VB': 1, ')': 1, '.': 1})",0,24,9,Artificial_photosynthesis,0,"{'conserved': 8.595638629866983, 'energy': 20.411637481916785, 'infinite': 13.972401434865766}",11,0,0,0,0.5671916007995605,9,7,4,0
245,491,492,How do you get a book published?,What are the good ways to write and publish a book?,0,491,"Counter({'VB': 2, 'WRB': 1, 'PRP': 1, 'DT': 1, 'NN': 1, 'VBN': 1, '.': 1})",0,7,9,do,1,"{'?': 1.0007542426504639, 'book': 5.823049907627202, 'published': 8.595638629866983}",492,"Counter({'DT': 2, 'VB': 2, 'WDT': 1, 'VBP': 1, 'JJ': 1, 'NNS': 1, 'TO': 1, 'CC': 1, 'NN': 1, '.': 1})",0,11,7,publish,1,"{'book': 5.823049907627202, 'publish': 7.497026341198874, 'write': 6.723836452965392}",4,0,2,0,0.2764818072319031,4,1,0,0
246,493,494,Who is disrupting Bloomberg?,Who will disrupt Bloomberg?,1,493,"Counter({'WP': 1, 'VBZ': 1, 'VBG': 1, 'NN': 1, '.': 1})",0,4,10,bloomberg,1,"{'?': 1.0007542426504639, 'bloomberg': 8.190173521758819, 'disrupting': 8.595638629866983}",494,"Counter({'WP': 1, 'MD': 1, 'VB': 1, 'NN': 1, '.': 1})",0,4,9,bloomberg,1,"{'?': 1.0007542426504639, 'bloomberg': 8.190173521758819, 'disrupt': 8.595638629866983}",0,0,1,0,1.0,2,2,2,0
247,495,496,Why can flash run so fast?,The Flash (DC character): How fast can the Flash run a mile?,0,495,"Counter({'VB': 2, 'RB': 2, 'WRB': 1, 'MD': 1, '.': 1})",0,6,5,so,1,"{'fast': 6.803879160638928, 'flash': 8.190173521758819, 'run': 6.516197088187147}",496,"Counter({'NN': 4, 'DT': 3, 'JJ': 2, '(': 1, ')': 1, ':': 1, 'WRB': 1, 'RB': 1, 'MD': 1, '.': 1})",0,14,9,flash,1,"{'dc': 7.6793478979928285, 'flash': 16.380347043517638, 'mile': 8.190173521758819}",8,0,4,0,0.13851109147071838,3,2,1,0
248,497,498,"What is the best way to invest $500 legally so that I can get tangible profits over a relatively short period of time, say 6 months?",How can I best invest ₹5000 over the next 6 months?,0,497,"Counter({'NN': 4, 'IN': 4, 'DT': 2, 'VB': 2, 'CD': 2, 'RB': 2, 'JJ': 2, 'NNS': 2, 'WP': 1, 'VBZ': 1, 'JJS': 1, 'TO': 1, '$': 1, 'MD': 1, ',': 1, 'VBP': 1, '.': 1})",1,28,10,just,1,"{'legally': 8.595638629866983, 'profits': 8.595638629866983, 'tangible': 8.595638629866983}",498,"Counter({'NN': 2, 'WRB': 1, 'MD': 1, 'VB': 1, 'JJS': 1, 'IN': 1, 'DT': 1, 'JJ': 1, 'CD': 1, 'NNS': 1, '.': 1})",1,12,6,next,1,"{'5000': 8.190173521758819, 'invest': 6.890890537628558, '₹': 7.6793478979928285}",16,0,4,0,0.3598293960094452,18,8,5,0
249,499,500,How will the implementation of GST bill impact the lives of common people?,What exactly is GST bill and how exactly will it affect the common people?,1,499,"Counter({'DT': 2, 'NN': 2, 'IN': 2, 'JJ': 2, 'NNS': 2, 'WRB': 1, 'MD': 1, 'VB': 1, '.': 1})",0,13,14,why_Mee_hiccuped,1,"{'gst': 7.6793478979928285, 'implementation': 8.190173521758819, 'lives': 7.902491449307038}",500,"Counter({'RB': 2, 'JJ': 2, 'WP': 1, 'VBZ': 1, 'NN': 1, 'CC': 1, 'WRB': 1, 'MD': 1, 'PRP': 1, 'VB': 1, 'DT': 1, 'NNS': 1, '.': 1})",0,14,7,what,2,"{'common': 6.516197088187147, 'exactly': 13.447672905930784, 'gst': 7.6793478979928285}",1,0,7,1,0.4737313985824585,5,6,4,0
250,501,502,How can you recover your Gmail password?,"I do not remember my password to my Gmail account, how can I recover my account?",1,501,"Counter({'NN': 2, 'WRB': 1, 'MD': 1, 'PRP': 1, 'VB': 1, 'PRP$': 1, '.': 1})",0,7,8,you,1,"{'gmail': 6.986200717432883, 'password': 6.197743357068613, 'recover': 6.64972848081167}",502,"Counter({'NN': 4, 'VB': 3, 'PRP$': 3, 'NNS': 1, 'VBP': 1, 'RB': 1, 'TO': 1, ',': 1, 'WRB': 1, 'MD': 1, '.': 1})",0,17,8,my,1,"{'account': 11.646099815254404, 'gmail': 6.986200717432883, 'remember': 6.890890537628558}",10,0,0,0,0.5302830934524536,7,3,2,0
251,503,504,How accurately can a mental illness can be diagnosed?,How can I accurately diagnose and medicate my mental illness?,1,503,"Counter({'MD': 2, 'WRB': 1, 'RB': 1, 'DT': 1, 'JJ': 1, 'NN': 1, 'VB': 1, 'VBN': 1, '.': 1})",0,9,10,can,1,"{'accurately': 7.902491449307038, 'diagnosed': 8.595638629866983, 'illness': 8.190173521758819, 'mental': 7.902491449307038}",504,"Counter({'VB': 2, 'JJ': 2, 'WRB': 1, 'MD': 1, 'RB': 1, 'CC': 1, 'PRP$': 1, 'NN': 1, '.': 1})",0,10,10,diagnose,1,"{'diagnose': 8.595638629866983, 'illness': 8.190173521758819, 'medicate': 8.595638629866983}",1,0,0,0,0.20068016648292542,5,4,3,0
252,505,506,Is knee pain in a 20 year old girl normal?,Is it normal for a 14 year old girl to be spitting up blood?,0,505,"Counter({'JJ': 3, 'NN': 3, 'VBZ': 1, 'IN': 1, 'DT': 1, 'CD': 1, '.': 1})",1,10,6,famously_bruised_shin,0,"{'20': 7.6793478979928285, 'knee': 8.595638629866983, 'pain': 7.3428756613716155}",506,"Counter({'NN': 3, 'JJ': 2, 'VBZ': 1, 'PRP': 1, 'IN': 1, 'DT': 1, 'CD': 1, 'TO': 1, 'VB': 1, 'VBG': 1, 'RP': 1, '.': 1})",1,14,8,just,0,"{'14': 7.3428756613716155, 'normal': 7.209344268747093, 'spitting': 8.595638629866983}",4,0,2,0,0.39291495084762573,1,5,4,0
253,507,508,What are the qualities of a good leader?,What are some good qualities of a leader?,1,507,"Counter({'DT': 2, 'WDT': 1, 'VBP': 1, 'NNS': 1, 'IN': 1, 'JJ': 1, 'NN': 1, '.': 1})",0,8,9,qualities,1,"{'good': 4.526611875629173, 'leader': 8.190173521758819, 'qualities': 7.902491449307038}",508,"Counter({'DT': 2, 'WDT': 1, 'VBP': 1, 'JJ': 1, 'NNS': 1, 'IN': 1, 'NN': 1, '.': 1})",0,8,9,qualities,1,"{'good': 4.526611875629173, 'leader': 8.190173521758819, 'qualities': 7.902491449307038}",0,0,0,0,1.0,0,7,4,0
254,509,510,"What is the difference between bay, gulf and straits?",What exactly is the difference between a sea and a bay?,0,509,"Counter({'NN': 3, 'WP': 1, 'VBZ': 1, 'DT': 1, 'IN': 1, ',': 1, 'CC': 1, 'NNS': 1, '.': 1})",0,10,10,gulf,1,"{'bay': 7.902491449307038, 'gulf': 8.595638629866983, 'straits': 8.595638629866983}",510,"Counter({'DT': 3, 'NN': 3, 'WP': 1, 'RB': 1, 'VBZ': 1, 'IN': 1, 'CC': 1, '.': 1})",0,11,10,exactly,1,"{'bay': 7.902491449307038, 'exactly': 6.723836452965392, 'sea': 7.902491449307038}",1,0,0,0,0.16175177693367004,4,6,2,0
255,511,512,Will Modi win in 2019?,Can Narendra Modi become Prime Minister of India in 2019?,1,511,"Counter({'MD': 1, 'VB': 1, 'NN': 1, 'IN': 1, 'CD': 1, '.': 1})",0,5,4,win,0,"{'2019': 8.190173521758819, 'modi': 6.2442633727035055, 'win': 5.9929489444226}",512,"Counter({'JJ': 3, 'NN': 2, 'IN': 2, 'MD': 1, 'VB': 1, 'CD': 1, '.': 1})",0,10,8,india,0,"{'2019': 8.190173521758819, 'minister': 8.190173521758819, 'prime': 7.6793478979928285}",5,0,4,0,-0.01716703362762928,2,3,2,0
256,513,514,How can I open DMart store in India? Is there any franchise for that?,How do I get reliance digital store franchise?,0,513,"Counter({'NN': 4, 'IN': 2, '.': 2, 'DT': 2, 'WRB': 1, 'MD': 1, 'VB': 1, 'JJ': 1, 'VBZ': 1, 'RB': 1})",0,15,9,just,1,"{'dmart': 8.595638629866983, 'franchise': 8.190173521758819, 'store': 7.3428756613716155}",514,"Counter({'VB': 2, 'JJ': 2, 'NN': 2, 'WRB': 1, 'VBP': 1, '.': 1})",0,8,9,do,1,"{'franchise': 8.190173521758819, 'reliance': 8.595638629866983, 'store': 7.3428756613716155}",7,0,0,0,0.5477825999259949,12,3,3,0
257,515,516,What are the best YouTube channels to learn medicine?,What are some of the best YouTube channels for learning Git?,0,515,"Counter({'NN': 2, 'WDT': 1, 'VBP': 1, 'DT': 1, 'JJS': 1, 'NNS': 1, 'TO': 1, 'VB': 1, '.': 1})",0,9,8,attacks_Akawu,1,"{'channels': 7.3428756613716155, 'medicine': 7.3428756613716155, 'youtube': 6.5807356093247185}",516,"Counter({'DT': 2, 'IN': 2, 'NN': 2, 'WDT': 1, 'VBP': 1, 'JJS': 1, 'NNS': 1, 'VBG': 1, '.': 1})",0,11,8,AWell,1,"{'channels': 7.3428756613716155, 'git': 8.595638629866983, 'youtube': 6.5807356093247185}",2,0,0,0,0.5893230438232422,3,6,4,0
258,517,518,Did Swami Vivekananda ever eat non-veg or egg during his journey around the world?,Why don't most of the Hindus eat non-veg?,0,517,"Counter({'NN': 5, 'IN': 2, 'VBD': 1, 'RB': 1, 'VB': 1, 'JJ': 1, 'CC': 1, 'PRP$': 1, 'DT': 1, '.': 1})",0,14,11,%_#F########_9v.jsn,0,"{'journey': 8.595638629866983, 'swami': 8.595638629866983, 'vivekananda': 8.595638629866983}",518,"Counter({'NN': 2, 'WRB': 1, 'VBP': 1, 'RB': 1, 'VB': 1, 'IN': 1, 'DT': 1, 'JJ': 1, '.': 1})",0,8,7,hindus,1,"{'eat': 6.398414052530764, 'hindus': 8.190173521758819, 'non-veg': 8.190173521758819}",6,0,4,1,0.15196369588375092,7,2,1,0
259,519,520,What will happen if I cancel TQWL tickets before the charting is done?,Can we cancel a 'Tatkal waiting list' ticket?,0,519,"Counter({'IN': 2, 'JJ': 2, 'WP': 1, 'MD': 1, 'VB': 1, 'VBP': 1, 'NNS': 1, 'DT': 1, 'NN': 1, 'VBZ': 1, 'VBN': 1, '.': 1})",0,13,8,do,1,"{'charting': 8.595638629866983, 'tickets': 8.190173521758819, 'tqwl': 8.190173521758819}",520,"Counter({'NN': 2, 'MD': 1, 'PRP': 1, 'VB': 1, 'DT': 1, 'CD': 1, 'VBG': 1, ""''"": 1, '.': 1})",0,10,7,ticket,0,"{""'"": 11.709597211883565, 'tatkal': 7.902491449307038, 'ticket': 7.902491449307038, 'waiting': 7.902491449307038}",3,0,1,1,0.10354840755462646,10,1,1,0
260,521,522,"What exactly is the ""Common Core Initiative/Standards"" and what are the pros and cons?",What are the pros and cons of the Common Core Standards Initiative?,1,521,"Counter({'NNS': 3, 'DT': 2, 'CC': 2, 'WP': 1, 'RB': 1, 'VBZ': 1, '``': 1, 'JJ': 1, 'NN': 1, ""''"": 1, 'WDT': 1, 'VBP': 1, '.': 1})",0,18,10,what,2,"{'""': 9.555852607820157, 'initiative': 7.902491449307038, 'standards': 7.902491449307038}",522,"Counter({'NNS': 3, 'DT': 2, 'NN': 2, 'WDT': 1, 'VBP': 1, 'CC': 1, 'IN': 1, 'JJ': 1, '.': 1})",0,12,10,BY_ANDY_THOMPSON,1,"{'core': 6.986200717432883, 'initiative': 7.902491449307038, 'standards': 7.902491449307038}",6,0,0,1,0.3731074929237366,7,6,3,0
261,523,524,How do I choose a journal to publish my paper?,Where do I publish my paper?,1,523,"Counter({'VB': 3, 'NN': 2, 'WRB': 1, 'VBP': 1, 'DT': 1, 'TO': 1, 'PRP$': 1, '.': 1})",0,10,7,do,1,"{'journal': 8.595638629866983, 'paper': 7.902491449307038, 'publish': 7.497026341198874}",524,"Counter({'VB': 2, 'WRB': 1, 'VBP': 1, 'PRP$': 1, 'NN': 1, '.': 1})",0,6,7,I,1,"{'?': 1.0007542426504639, 'paper': 7.902491449307038, 'publish': 7.497026341198874}",4,0,0,0,0.5432289242744446,4,5,3,0
262,525,526,What are your New Year's resolutions for 2017?,What is your creative New Year's resolution for 2017?,1,525,"Counter({'WDT': 1, 'VBP': 1, 'PRP$': 1, 'JJ': 1, 'NN': 1, 'POS': 1, 'NNS': 1, 'IN': 1, 'CD': 1, '.': 1})",0,8,11,your,1,"{'2017': 6.723836452965392, 'resolutions': 8.595638629866983, ""year's"": 8.190173521758819}",526,"Counter({'JJ': 2, 'NN': 2, 'WP': 1, 'VBZ': 1, 'PRP$': 1, 'POS': 1, 'IN': 1, 'CD': 1, '.': 1})",0,9,10,%_#F########_9v.jsn,1,"{'creative': 7.497026341198874, 'resolution': 7.902491449307038, ""year's"": 8.190173521758819}",1,0,1,0,0.3653254508972168,5,6,4,0
263,527,528,What do you do if you had a bad dream?,How do you not get bad dreams?,0,527,"Counter({'PRP': 2, 'WP': 1, 'VBP': 1, 'VB': 1, 'IN': 1, 'VBD': 1, 'DT': 1, 'JJ': 1, 'NN': 1, '.': 1})",0,10,5,do,1,"{'?': 1.0007542426504639, 'bad': 6.398414052530764, 'dream': 6.803879160638928}",528,"Counter({'VB': 2, 'WRB': 1, 'PRP': 1, 'RB': 1, 'JJ': 1, 'NNS': 1, '.': 1})",0,7,6,do,1,"{'?': 1.0007542426504639, 'bad': 6.398414052530764, 'dreams': 7.209344268747093}",3,0,1,0,1.0,8,3,1,0
327,653,654,What is it like to be a private banker?,What is like to be a private banker in Switzerland?,0,653,"Counter({'WP': 1, 'VBZ': 1, 'PRP': 1, 'IN': 1, 'TO': 1, 'VB': 1, 'DT': 1, 'JJ': 1, 'NN': 1, '.': 1})",0,9,7,it,1,"{'banker': 7.902491449307038, 'like': 4.509662317315399, 'private': 6.803879160638928}",654,"Counter({'IN': 2, 'NN': 2, 'WP': 1, 'VBZ': 1, 'TO': 1, 'VB': 1, 'DT': 1, 'JJ': 1, '.': 1})",0,10,11,pioneer_LaLanne,1,"{'banker': 7.902491449307038, 'private': 6.803879160638928, 'switzerland': 7.902491449307038}",1,0,4,0,0.5355138182640076,3,7,3,0
328,655,656,What is journalism for you?,What is journalism?,0,655,"Counter({'WP': 1, 'VBZ': 1, 'NN': 1, 'IN': 1, 'PRP': 1, '.': 1})",0,5,10,journalism,1,"{'?': 1.0007542426504639, 'journalism': 8.190173521758819}",656,"Counter({'WP': 1, 'VBZ': 1, 'NN': 1, '.': 1})",0,3,10,journalism,1,"{'?': 1.0007542426504639, 'journalism': 8.190173521758819}",2,0,0,0,1.0,2,2,1,0
329,657,658,How can one increase concentration?,How can I improve my concentration?,1,657,"Counter({'WRB': 1, 'MD': 1, 'CD': 1, 'VB': 1, 'NN': 1, '.': 1})",0,5,13,concentration,1,"{'?': 1.0007542426504639, 'concentration': 8.190173521758819, 'increase': 6.344346831260488}",658,"Counter({'VB': 2, 'WRB': 1, 'MD': 1, 'PRP$': 1, 'NN': 1, '.': 1})",0,6,13,I,1,"{'?': 1.0007542426504639, 'concentration': 8.190173521758819, 'improve': 5.792278248960448}",1,0,0,0,0.13435392081737518,2,3,2,0
330,659,660,"How do I see ""sent invitations"" on Linkedin if I don't have any more pending invitations?","How can you personalize a LinkedIn invitation? I think I just sent a colleague an invitation on LinkedIn, but did not get a chance to personalize it!",0,659,"Counter({'VB': 3, 'NNS': 3, 'VBP': 2, 'JJ': 2, 'IN': 2, 'WRB': 1, '``': 1, ""''"": 1, 'NN': 1, 'RB': 1, 'DT': 1, 'JJR': 1, '.': 1})",0,18,11,do,1,"{'""': 9.555852607820157, 'invitations': 17.191277259733965, 'linkedin': 8.190173521758819}",660,"Counter({'NN': 5, 'DT': 4, 'VB': 3, 'JJ': 3, 'PRP': 2, '.': 2, 'RB': 2, 'VBD': 2, 'WRB': 1, 'MD': 1, 'VBP': 1, 'IN': 1, ',': 1, 'CC': 1, 'TO': 1})",0,29,11,do,1,"{'invitation': 17.191277259733965, 'linkedin': 16.380347043517638, 'personalize': 17.191277259733965}",11,0,0,0,1.0,18,3,2,0
331,661,662,What are the pros and cons of the German Shepherd dog?,What are the pros and cons of having a pet German Shepherd?,1,661,"Counter({'DT': 2, 'NNS': 2, 'NN': 2, 'WDT': 1, 'VBP': 1, 'CC': 1, 'IN': 1, 'JJ': 1, '.': 1})",0,11,8,cons,1,"{'dog': 7.091561233090709, 'german': 7.209344268747093, 'shepherd': 8.190173521758819}",662,"Counter({'DT': 2, 'NNS': 2, 'JJ': 2, 'WDT': 1, 'VBP': 1, 'CC': 1, 'IN': 1, 'VBG': 1, 'NN': 1, '.': 1})",0,12,8,AWell,1,"{'german': 7.209344268747093, 'pet': 8.595638629866983, 'shepherd': 8.190173521758819}",1,0,0,0,0.2005295306444168,2,8,4,0
332,663,664,What is the difference between deism and agnosticism?,What is the difference between a hobby and a habit?,0,663,"Counter({'NN': 3, 'WP': 1, 'VBZ': 1, 'DT': 1, 'IN': 1, 'CC': 1, '.': 1})",0,8,11,agnosticism,1,"{'agnosticism': 8.595638629866983, 'deism': 8.595638629866983, 'difference': 5.114398540531291}",664,"Counter({'DT': 3, 'NN': 3, 'WP': 1, 'VBZ': 1, 'IN': 1, 'CC': 1, '.': 1})",0,10,10,difference,1,"{'difference': 5.114398540531291, 'habit': 8.595638629866983, 'hobby': 8.595638629866983}",2,0,1,0,0.10189522802829742,2,6,2,0
333,665,666,Why do male porn stars masturbate to ejaculate?,Is it OK for a husband and wife to masturbate together? Is it considered cheating if your partner is masturbating without your consent?,0,665,"Counter({'VB': 3, 'WRB': 1, 'VBP': 1, 'NN': 1, 'NNS': 1, 'TO': 1, '.': 1})",0,8,10,masturbate,1,"{'ejaculate': 8.190173521758819, 'masturbate': 8.190173521758819, 'stars': 8.190173521758819}",666,"Counter({'NN': 4, 'VBZ': 3, 'IN': 3, 'PRP': 2, '.': 2, 'VBG': 2, 'PRP$': 2, 'RP': 1, 'DT': 1, 'CC': 1, 'TO': 1, 'VB': 1, 'RB': 1, 'VBD': 1})",0,24,12,JANE_SAYS,0,"{'consent': 8.595638629866983, 'masturbating': 8.595638629866983, 'partner': 8.595638629866983}",16,0,2,1,0.31826266646385193,9,2,1,0
